,CIK Number,Entity Name,Address_1,City,State,Zip Code
77,0000050142,TAX EXEMPT BOND FUND OF AMERICA,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
78,0000051931,INVESTMENT CO OF AMERICA,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
79,0000052136,Natixis Funds Trust II,888 BOYLSTON STREET,BOSTON,MA,02199
80,0000052848,VANGUARD WORLD FUND,PO BOX 2600,VALLEY FORGE,PA,19482
81,0000053808,BNY Mellon Investment Funds III,"C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
82,0000055189,DEUTSCHE DWS MONEY FUNDS,875 THIRD AVENUE,NEW YORK,NY,10022-6225
83,0000059566,LINCOLN NATIONAL VARIABLE ANNUITY FUND A,P O BOX 1110,FORT WAYNE,IN,46802
84,0000060335,CGM TRUST,ONE INTERNATIONAL PLACE,BOSTON,MA,02110
85,0000060365,LORD ABBETT BOND DEBENTURE FUND INC,90 HUDSON STREET,JERSEY CITY,NJ,07302
86,0000061397,FIDELITY MAGELLAN FUND,245 SUMMER STREET,BOSTON,MA,02210
87,0000062014,HORACE Mann LIFE INSURANCE CO SEPARATE ACCOUNT B,#1 HORACE MANN PLZ,SPRINGFIELD,IL,62715-0001
88,0000063067,MFS SERIES TRUST XVI,111 HUNTINGTON AVENUE,BOSTON,MA,02199
89,0000063068,MFS SERIES TRUST IV,111 HUNTINGTON AVENUE,BOSTON,MA,02199
90,0000063075,MFS SERIES TRUST IX,111 HUNTINGTON AVENUE,BOSTON,MA,02199
91,0000063090,MASSACHUSETTS INVESTORS GROWTH STOCK FUND,111 HUNTINGTON AVENUE,BOSTON,MA,02199
92,0000063091,MASSACHUSETTS INVESTORS TRUST,111 HUNTINGTON AVENUE,BOSTON,MA,02199
93,0000063099,MASSACHUSETTS MUTUAL VARIABLE ANNUITY FUND 1,1295 STATE STREET,SPRINGFIELD,MA,01111-0001
94,0000065109,READY ASSETS GOVERNMENT LIQUIDITY FUND,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
95,0000066749,VARIABLE FUND D,400 ROBERT ST NORTH,ST PAUL,MN,55101
96,0000067160,MML SERIES INVESTMENT FUND,100 BRIGHT MEADOW BLVD.,ENFIELD,CT,06082
97,0000067590,"PRUDENTIAL Government Money Market Fund, INC.",655 BROAD STREET,NEWARK,NJ,07102-4077
98,0000067873,MONY VARIABLE ACCOUNT A,PROTECTIVE LIFE INSURANCE COMPANY,BIRMINGHAM,AL,35223
99,0000069752,"AB GLOBAL RISK ALLOCATION FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
100,0000070286,NATIONAL LIFE VARIABLE ANNUITY ACCOUNT 1,ONE NATIONAL LIFE DRIVE,MONTPELIER,VT,05604
101,0000071318,NEW ENGLAND VARIABLE ANNUITY FUND I,METROPOLITAN LIFE INSURANCE COMPANY,NEW YORK,NY,10166
102,0000071516,NEW PERSPECTIVE FUND,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
103,0000071701,DAVIS NEW YORK VENTURE FUND INC,2949 E. ELVIRA ROAD,TUCSON,AZ,85756
104,0000071958,"NICHOLAS FUND, INC.",411 E. WISCONSIN AVE.,MILWAUKEE,WI,53202
105,0000072176,NML VARIABLE ANNUITY ACCOUNT B,720 E WISCONSIN AVE,MILWAUKEE,WI,53202
106,0000072760,NORTHEAST INVESTORS TRUST,125 HIGH ST,BOSTON,MA,02110
107,0000073710,SEPARATE ACCOUNT FUND B,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499
108,0000073711,SEPARATE ACCOUNT FUND C,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499
109,0000073981,OHIO NATIONAL VARIABLE ACCOUNT A,ONE FINANCIAL WAY,CINCINNATI,OH,45242
110,0000073982,OHIO NATIONAL VARIABLE ACCOUNT B,ONE FINANCIAL WAY,CINCINNATI,OH,45242
111,0000074658,OPPENHEIMER GLOBAL FUND,6803 SOUTH TUCSON WAY,CENTENNIAL,CO,80112-3924
112,0000074663,EATON VANCE SERIES TRUST II,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
113,0000075170,"T. Rowe Price Small-Cap Stock Fund, Inc.",100 EAST PRATT STRET,BALTIMORE,MD,21202
114,0000075176,"BNY Mellon Municipal Bond Funds, Inc.","C/O BNY MELLON INVESTMENT ADVISER, INC.",NEW YORK,NY,10286
115,0000076210,FPA PARAMOUNT FUND INC,11601 WILSHIRE BOULEVARD,LOS ANGELES,CA,90025
116,0000076721,PAX WORLD FUNDS SERIES TRUST I,"30 PENHALLOW STREET, SUITE 400",PORTSMOUTH,NH,03801-3852
117,0000077135,PENN MUTUAL VARIABLE ANNUITY ACCOUNT II,PENN MUTUAL  INDEPENDENCE PL C30,HORSHAM,PA,19044
118,0000077136,PENN MUTUAL VARIABLE ANNUITY ACCOUNT I,PENN MUTUAL  INDEPENDENCE PL,HORSHAM,PA,19044
119,0000078011,PFL VARIABLE ANNUITY FUND II,4333 EDGEWOOD ROAD NE,CEDAR RAPIDS,IA,52499
120,0000078599,LINCOLN LIFE VARIABLE ANNUITY ACCOUNT JL-A,ONE GRANITE PLACE,CONCORD,NH,03301-3258
121,0000078713,PIONEER FUND /MA/,"60 STATE ST., 13TH FLOOR",BOSTON,MA,02109
122,0000078758,PIONEER SERIES TRUST XI,60 STATE ST,BOSTON,MA,02109
123,0000080248,"T. Rowe Price New Horizons Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
124,0000080249,"T. Rowe Price New Income Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
125,0000080257,"T. Rowe Price Growth Stock Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
126,0000080941,PRUDENTIAL VARIABLE CONTRACT ACCOUNT 2,655 BROAD STREET,NEWARK,NJ,07102
127,0000080943,PRUDENTIALS ANNUITY PLAN ACCOUNT,751 BROAD ST,NEWARK,NJ,07102
128,0000080945,PRUDENTIALS ANNUITY PLAN ACCOUNT-2,PRUDENTIAL INSURANCE COMPANY OF AMERICA,NEWARK,NJ,07102
129,0000080946,PRUDENTIALS GIBRALTAR FUND,655 BROAD STREET,NEWARK,NJ,07102-2992
130,0000080948,PRUDENTIALS INVESTMENT PLAN ACCOUNT,751 BROAD ST,NEWARK,NJ,07102
131,0000081205,FIDELITY PURITAN TRUST,245 SUMMER STREET,BOSTON,MA,02210
132,0000081247,PUTNAM CONVERTIBLE SECURITIES FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
133,0000081248,PUTNAM MONEY MARKET FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
134,0000081251,PUTNAM GLOBAL EQUITY FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
135,0000081259,GEORGE PUTNAM BALANCED FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
136,0000081269,PUTNAM INVESTORS FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
137,0000081443,"AB CAP FUND, INC.",ALLIANCEBERNSTEIN LP,NEW YORK,NY,10105
138,0000083293,FRANKLIN GOLD & PRECIOUS METALS FUND,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
139,0000084237,"SELECTED INTERNATIONAL FUND, INC",2949 E. ELVIRA ROAD,TUCSON,AZ,85756
140,0000087062,SBL VARIABLE ANNUITY ACCOUNT 1,SECURITY BENEFIT LIFE INSURANCE CO,TOPEKA,KS,66636-0001
141,0000088048,DEUTSCHE DWS SECURITIES TRUST,875 THIRD AVENUE,NEW YORK,NY,10022-6225
142,0000088053,"DEUTSCHE DWS INTERNATIONAL FUND, INC.",875 THIRD AVENUE,NEW YORK,NY,10022-6225
143,0000088063,DEUTSCHE DWS PORTFOLIO TRUST,875 THIRD AVENUE,NEW YORK,NY,10022-6225
144,0000088064,DEUTSCHE DWS INVESTMENT TRUST,875 THIRD AVENUE,NEW YORK,NY,10022-6225
145,0000088525,GUGGENHEIM FUNDS TRUST,702 KING FARM BOULEVARD,ROCKVILLE,MD,20850
146,0000088808,SELECTED AMERICAN SHARES INC,2949 E. ELVIRA ROAD,TUCSON,AZ,85756
147,0000089024,SEPARATE ACCOUNT A OF EQUITABLE FINANCIAL LIFE INSURANCE CO,1290 AVE OF THE AMERICAS,NEW YORK,NY,10104
148,0000089031,AGL SEPARATE ACCOUNT D,2727-A ALLEN PARKWAY,HOUSTON,TX,77019
149,0000089043,SEQUOIA FUND INC,9 WEST 57TH STREET,NEW YORK,NY,10019-2701
150,0000092500,"STEWARD FUNDS, INC.","15375 MEMORIAL DRIVE, SUITE 200",HOUSTON,TX,77079
151,0000092751,ALGER FUNDS II,360 PARK AVENUE SOUTH,NEW YORK,NY,10010
152,0000093715,STATE FARM ASSOCIATES FUNDS TRUSTS,THREE STATE FARM PLAZA,BLOOMINGTON,IL,61791-0001
153,0000093832,CAPITAL CASH MANAGEMENT TRUST,120 WEST 45TH STREET,NEW YORK,NY,10036
154,0000095603,DEUTSCHE DWS MARKET TRUST,345 PARK AVENUE,NEW YORK,NY,10154-0004
155,0000097098,BLACKROCK LIQUIDITY FUNDS,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
156,0000099188,FPA CAPITAL FUND INC,11601 WILSHIRE BOULEVARD,LOS ANGELES,CA,90025
157,0000099203,FPA NEW INCOME INC,11601 WILSHIRE BOULEVARD,LOS ANGELES,CA,90025
158,0000100334,"AMERICAN CENTURY MUTUAL FUNDS, INC.",4500 MAIN STREET,KANSAS CITY,MO,64111
159,0000101507,US GLOBAL INVESTORS FUNDS,THREE CANAL PLAZA,PORTLAND,ME,04101
160,0000101686,USL SEPARATE ACCOUNT USL VL-R,175 WATER STREET,NEW YORK,NY,10038
161,0000101872,FIRST VARIABLE ANNUITY FUND A,PROTECTIVE LIFE INSURANCE CO,BIRMINGHAM,AL,35223
162,0000102756,"Value Line Mid Cap Focused Fund, Inc.",7 TIMES SQUARE,NEW YORK,NY,10036
163,0000102757,VALUE LINE CAPITAL APPRECIATION FUND INC,7 TIMES SQUARE,NEW YORK,NY,10036
164,0000102764,"Value Line Larger Companies Focused Fund, Inc.",7 TIMES SQUARE,NEW YORK,NY,10036
165,0000102767,"Value Line Select Growth Fund, Inc.",7 TIMES SQUARE,NEW YORK,NY,10036
166,0000102816,EATON VANCE GROWTH TRUST,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
167,0000102818,EATON VANCE SERIES TRUST,TWO INTERNATIONAL PLACE,BOSTON,MA,02110
168,0000103005,VARIABLE ANNUITY ACCOUNT B OF VOYA RETIREMENT INSURANCE & ANNUITY Co,ONE ORANGE WAY,WINDSOR,CT,06095-4774
169,0000103007,VARIABLE ANNUITY ACCT C OF VOYA RETIREMENT INSURANCE & ANNUITY Co,ONE ORANGE WAY,WINDSOR,CT,06095-4774
170,0000103014,JACKSON SWL VARIABLE ANNUITY FUND I,1 CORPORATE WAY,LANSING,MI,48951
171,0000104865,WASHINGTON MUTUAL INVESTORS FUND,333 S HOPE ST - 55TH FL (MICG),LOS ANGELES,CA,90071
172,0000105377,AIM EQUITY FUNDS (INVESCO EQUITY FUNDS),11 GREENWAY PLZ,HOUSTON,TX,77046
173,0000105544,VANGUARD WELLESLEY INCOME FUND,PO BOX 2600,VALLEY FORGE,PA,19482
174,0000105563,VANGUARD WELLINGTON FUND,PO BOX 2600,VALLEY FORGE,PA,19482
175,0000106444,VANGUARD FIXED INCOME SECURITIES FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
176,0000106830,VANGUARD MONEY MARKET RESERVES,PO BOX 2600,VALLEY FORGE,PA,19482
177,0000107606,VANGUARD WINDSOR FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
178,0000107822,"NICHOLAS HIGH INCOME FUND, INC.",411 E. WISCONSIN AVE.,MILWAUKEE,WI,53202
179,0000109586,RELIASTAR LIFE INS CO OF NY VARIABLE ANNUITY FUNDS A B & C,1000 WOODBURY ROAD,WOODBURY,NY,11797
180,0000109907,TALCOTT RESOLUTION LIFE INSURANCE CO DC VARIABLE ACCOUNT I,P.O. BOX 2999,HARTFORD,CT,06104-2999
181,0000110055,"BLACKROCK BALANCED CAPITAL FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,08536
182,0000110698,HORACE MANN LIFE INSURANCE CO SEPARATE ACCOUNT,#1 HORACE MANN PLZ,SPRINGFIELD,IL,62715-0001
183,0000110701,MASSACHUSETTS MUTUAL VARIABLE ANNUITY FUND 2,1295 STATE STREET,SPRINGFIELD,MA,01111-0001
184,0000200026,SEPARATE ACCOUNTS D E F OF ALLMERICA FIN LIFE INS & ANNU CO,20 GUEST STREET,BRIGHTON,MA,02135
185,0000200489,MFS SERIES TRUST V,111 HUNTINGTON AVENUE,BOSTON,MA,02199
186,0000201670,DELAWARE GROUP STATE TAX-FREE INCOME TRUST,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
187,0000201801,"Federated Hermes Municipal Bond Fund, Inc.",4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
188,0000202032,AIM GROWTH SERIES (INVESCO GROWTH SERIES),11 GREENWAY PLAZA,HOUSTON,TX,77046
189,0000202571,MFS VARIABLE ACCOUNT,NATIONWIDE LIFE INSURANCE CO,MINNEAPOLIS,MN,43216-6609
190,0000202713,NATIONWIDE VARIABLE ACCOUNT,ONE NATIONWIDE PLAZA,COLUMBUS,OH,43216
191,0000202741,"BLACKROCK ASIAN DRAGON FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
192,0000202927,"T. Rowe Price Tax-Free Income Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
193,0000203002,DAVIS SERIES INC,2949 E. ELVIRA ROAD,TUCSON,AZ,85756
194,0000203142,DEUTSCHE DWS MUNICIPAL TRUST,875 THIRD AVENUE,NEW YORK,NY,10022-6225
195,0000205007,SHORT-TERM INVESTMENTS TRUST,11 GREENWAY PLAZA,HOUSTON,TX,77046
196,0000205147,CG VARIABLE ANNUITY ACCOUNT I,280 TRUMBULL STREET,HARTFORD,CT,06104-2975
197,0000205323,FIDELITY COMMONWEALTH TRUST,245 SUMMER STREET,BOSTON,MA,02210
198,0000205802,PUTNAM TAX EXEMPT INCOME FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
199,0000215457,BIF MONEY FUND,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
200,0000215740,ELFUN TAX EXEMPT INCOME FUND,1600 SUMMER STREET,STAMFORD,CT,06905
201,0000215829,FIDELITY SCHOOL STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
202,0000216557,"BLACKROCK BASIC VALUE FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
203,0000216907,"T. Rowe Price New Era Fund, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
204,0000216934,PUTNAM EQUITY INCOME FUND,ONE POST OFFICE SQ,BOSTON,MA,02109
205,0000217087,Guggenheim Variable Funds Trust,702 KING FARM BOULEVARD,ROCKVILLE,MD,20850
206,0000225030,AFL CIO HOUSING INVESTMENT TRUST,"2401 PENNSYLVANIA AVENUE, NW",WASHINGTON,DC,20037
207,0000225318,"Federated Hermes High Income Bond Fund, Inc.",4000 ERICSSON DRIVE,WARRENDALE,PA,15086-7561
208,0000225322,FIDELITY SUMMER STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
209,0000225323,FIDELITY COURT STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
210,0000225375,FRANKLIN CALIFORNIA TAX FREE INCOME FUND,ONE FRANKLIN PARKWAY,SAN MATEO,CA,94403-1906
211,0000225604,MFS SERIES TRUST III,111 HUNTINGTON AVENUE,BOSTON,MA,02199
212,0000225635,"BLACKROCK MUNICIPAL BOND FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
213,0000225777,PUTNAM HIGH YIELD TRUST,ONE POST OFFICE SQ,BOSTON,MA,02109
214,0000225930,TEMPLETON FUNDS,300 S.E. 2ND STREET,FORT LAUDERDALE,FL,33301-1923
215,0000225997,VANGUARD MUNICIPAL BOND FUNDS,PO BOX 2600,VALLEY FORGE,PA,19482
216,0000230173,DELAWARE GROUP CASH RESERVE,ONE COMMERCE SQUARE,PHILADELPHIA,PA,19103
217,0000230382,"BlackRock Advantage U.S. Total Market Fund, Inc.",100 BELLEVUE PARKWAY,WILMINGNTON,DE,19809
218,0000275309,FIDELITY CAPITAL TRUST,245 SUMMER STREET,BOSTON,MA,02210
219,0000276183,TALCOTT RESOLUTION LIFE INSURANCE CO SEPARATE ACCOUNT TWO QP VARI ACCO,P.O. BOX 2999,HARTFORD,CT,06104-2999
220,0000276463,"BLACKROCK BOND FUND, INC.",100 BELLEVUE PARKWAY,WILMINGTON,DE,19809
221,0000276776,PIONEER BOND FUND /DE/,60 STATE ST 13TH FL,BOSTON,MA,02109
222,0000276914,"LORD ABBETT DEVELOPING GROWTH FUND, INC.",90 HUDSON ST.,JERSEY CITY,NJ,07302
223,0000277418,CG VARIABLE ANNUITY ACCOUNT II,280 TRUMBULL STREET,HARTFORD,CT,06104-2975
224,0000277585,"BARRETT OPPORTUNITY FUND, INC.","BARRETT ASSET MANAGEMENT, LLC",NEW YORK,NY,10016
225,0000277751,JANUS INVESTMENT FUND,151 DETROIT STREET,DENVER,CO,80206
226,0000278001,FIDELITY PHILLIPS STREET TRUST,245 SUMMER STREET,BOSTON,MA,02210
227,0000278187,"PRUDENTIAL INVESTMENT PORTFOLIOS, INC. 15",655 BROAD STREET,NEWARK,NJ,07102
228,0000278360,GENERAL AMERICAN SEPARATE ACCOUNT TWO,METROPOLITAN TOWER LIFE INSURANCE CO,LINCOLN,NE,68516
229,0000310771,CML ACCUMULATION ANNUITY ACCOUNT E,100 BRIGHT MEADOW BOULEVARD,ENFIELD,CT,06082
230,0000311101,DUPREE MUTUAL FUNDS,125 S MILL,LEXINGTON,KY,40507
231,0000311635,LORD ABBETT US GOV & GOV SPONSORED ENTERPR MONEY MARKET FUND,90 HUDSON STREET,JERSEY CITY,NJ,07302
232,0000312576,SEPARATE ACCOUNT I OF EQUITABLE FINANCIAL LIFE INSURANCE CO,1290 AVENUE OF THE AMERICAS,NEW YORK,NY,10104
233,0000312586,GENERAL ELECTRIC RSP INCOME FUND,1600 SUMMER STREET,STAMFORD,CT,06905
234,0000313212,"T. Rowe Price International Funds, Inc.",100 EAST PRATT STREET,BALTIMORE,MD,21202
235,0000313596,ZALICO VARIABLE ANNUITY ACCOUNT C,C/O CHASE LIFE,ELGIN,IL,60123
236,0000313754,SEPARATE ACCOUNT VA-A OF COMMONWEALTH ANNUITY & LIFE I NSURANCE CO,20 GUEST STREET,BRIGHTON,MA,02135
